grade,subject,classification,lessons,humanReviewed,legacyStatusOnly,objectivesInPayload,classwork,homework,practice,quiz,assessmentQuestions,labsInPayload,typedLabs,units,moeObjectives,exams,moeArchive,releases,gaps
2,SCIENCE,RELEASE_BINDING_GAP,1,0,1,1,0,0,1,0,0,0,0,3,0,0,yes,0,"NO_GOVERNED_OBJECTIVES;LESSONS_WITHOUT_HUMAN_REVIEW;UNVERIFIED_PROVENANCE;NO_CLASSWORK;NO_HOMEWORK;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY;NO_TYPED_LAB"
2,SOCIAL_STUDIES,SOURCE_EXISTS_NOT_IMPORTED,0,0,0,0,0,0,0,0,0,0,0,2,0,0,yes,0,"NO_LIVE_LESSONS;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
2,CIVICS,RELEASE_BINDING_GAP,11,0,11,11,0,0,0,0,0,0,0,0,0,0,no,0,"NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;LESSONS_WITHOUT_HUMAN_REVIEW;UNVERIFIED_PROVENANCE;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
2,COMPUTER_SCIENCE,RELEASE_BINDING_GAP,12,0,12,12,0,0,0,0,0,0,0,0,0,0,no,0,"NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;LESSONS_WITHOUT_HUMAN_REVIEW;UNVERIFIED_PROVENANCE;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
2,DIGITAL_LITERACY,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
2,ENGINEERING_FOUNDATIONS,RELEASE_BINDING_GAP,13,0,13,13,0,0,0,0,0,0,0,0,0,0,no,0,"NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;LESSONS_WITHOUT_HUMAN_REVIEW;UNVERIFIED_PROVENANCE;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
2,BUSINESS_ENTREPRENEURSHIP,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
2,FINANCIAL_LITERACY,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
2,CAREER_EXPLORATION,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
2,COMMUNICATION_SKILLS,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
2,PROBLEM_SOLVING,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
2,CREATIVITY_INNOVATION,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
2,AGRICULTURE,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
2,ENVIRONMENTAL_STUDIES,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
2,AI_LITERACY,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
2,DATA_LITERACY,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
2,ENERGY_INFRASTRUCTURE,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
3,MATH,SOURCE_EXISTS_NOT_IMPORTED,0,0,0,0,0,0,0,0,0,0,0,2,1,0,yes,0,"NO_LIVE_LESSONS;NO_CLASSWORK;NO_HOMEWORK;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
3,LITERACY,RELEASE_BINDING_GAP,11,0,6,11,0,0,0,5,5,0,0,3,0,0,yes,0,"NO_GOVERNED_OBJECTIVES;LESSONS_WITHOUT_HUMAN_REVIEW;UNVERIFIED_PROVENANCE;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY;NON_CANONICAL_SUBJECT_BINDING"
3,SCIENCE,RELEASE_BINDING_GAP,5,0,0,5,0,0,0,5,5,0,0,4,0,0,yes,0,"NO_GOVERNED_OBJECTIVES;LESSONS_WITHOUT_HUMAN_REVIEW;UNVERIFIED_PROVENANCE;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY;NO_TYPED_LAB"
3,SOCIAL_STUDIES,SOURCE_EXISTS_NOT_IMPORTED,0,0,0,0,0,0,0,0,0,0,0,2,0,0,yes,0,"NO_LIVE_LESSONS;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
3,CIVICS,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,2,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
3,COMPUTER_SCIENCE,RELEASE_BINDING_GAP,12,0,12,12,0,0,0,0,0,0,0,0,0,0,no,0,"NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;LESSONS_WITHOUT_HUMAN_REVIEW;UNVERIFIED_PROVENANCE;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
3,DIGITAL_LITERACY,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
3,ENGINEERING_FOUNDATIONS,RELEASE_BINDING_GAP,15,0,15,15,0,0,0,0,0,0,0,0,0,0,no,0,"NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;LESSONS_WITHOUT_HUMAN_REVIEW;UNVERIFIED_PROVENANCE;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
3,BUSINESS_ENTREPRENEURSHIP,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
3,FINANCIAL_LITERACY,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
3,CAREER_EXPLORATION,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
3,COMMUNICATION_SKILLS,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
3,PROBLEM_SOLVING,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
3,CREATIVITY_INNOVATION,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
